"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Pseudosuchia&pres=regular&interval=Late%20Triassic,Early%20Jurassic&private&pgm=gplates,scotese,seton&show=full"
"Access Time","Wed 2024-08-07 08:53:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Pseudosuchia"
"","pgm","gplates,scotese,seton"
"","interval","Late Triassic,Early Jurassic"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","full"
"","private","1"
"Elapsed Time","0.303"
"Records Found","1315"
"Records Returned","1315"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","permissions","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"146085","occ","","","12856","","Rutiodon carolinensis","species","64947","","Rutiodon carolinensis","","species","64947","Norian","","227","208.5","Colbert","1965","30923","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Rutiodon","","","1","specimens","-74.018608","40.811943","AMNH 5500, skull, partial mandible, vertebra, scutes, postcranial fragments","Granton Quarry","","Belmont-Gurnee Quarry, North Bergen","US","New Jersey","Hudson","stated in text","seconds","outcrop","Coordinates stated by Olsen (2005). Remnants of the old Granton Quarry are preserved between the new Lowes Home Building Center on the south and Tonnelle Plaza (Hartz Mountain Industries) on the north, North Bergen.","gplates","101","mid","-8.55","14.34","scotese","101","mid","-19.51","15.43","seton","not computable using this model","","","","US","","Lockatong","Chatham","Ewing Creek","group of beds","","","","","","","","","","The base of the section appears to be 38-46 m above the contact with the Palisade sill. At least 7 beds are fossiliferous.\r\n""the Lockatong Formation is composed entirely of repetitive sedimentary cycles caused by the rise and fall of lakes controlled by climate changes..."".","""Division 2 is a thinly bedded, laminated to microlaminated (laminae < 1 mm) red, green or gray to black, sometimes organic-carbon-rich, siltstone, claystone, or carbonate showing few or no signs of desiccation. In its best-developed form, division 2 is black and microlaminated and contains abundant and well-preserved fossil fish, arthropods, and small reptiles""","siltstone","planar lamination,black,gray","","calcareous","Y","","","","","","lacustrine - large","rift","","macrofossils","","","","","","","","body","good","","","","","","common","","","","","","taxonomic","selective quarrying,field collection","AMNH","some macrofossils","","","","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149238","occ","19535","","13173","","Suchia indet.","unranked clade","66478","","Suchia","","unranked clade","66478","Carnian","","237","227","Fraser","1994","12289","Chordata","Reptilia","","","","","","","","-2.428333","51.623055","","Cromhall Quarry Site 1","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916 (also listed as ST(31)705915). Cromhall QUarry, 1 mi. NE of Cronhall and 13 mi NE of Bristol.","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","good","","condensed","","concentrated","","","","frequent","","","bones are often broken and they show a high degree of rounding and polishing","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149240","occ","19537","","13174","","Suchia indet.","unranked clade","66478","","Suchia","","unranked clade","66478","Carnian","","237","227","Fraser","1994","12289","Chordata","Reptilia","","","","","","","","-2.428333","51.623055","","Cromhall Quarry Site 2","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","good","","condensed","","concentrated","","common","","frequent","","","","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149242","occ","27953","","13174","","aff. Terrestrisuchus sp.","genus","38316","","Terrestrisuchus","","genus","38316","Carnian","","237","227","Whiteside and Marshall","2008","25869","Chordata","Reptilia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Terrestrisuchus","","","","","-2.428333","51.623055","""(= Terrestrisuchus)""","Cromhall Quarry Site 2","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","good","","condensed","","concentrated","","common","","frequent","","","","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149250","occ","27955","","13175","","aff. Terrestrisuchus sp.","genus","38316","","Terrestrisuchus","","genus","38316","Carnian","","237","227","Whiteside and Marshall","2008","25869","Chordata","Reptilia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Terrestrisuchus","","","","","-2.428333","51.623055","","Cromhall Quarry Site 3","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","good","","condensed","","concentrated","","common","","frequent","","","bones often broken and showing rounding and polishing","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149252","occ","19544","","13175","","Suchia indet.","unranked clade","66478","","Suchia","","unranked clade","66478","Carnian","","237","227","Fraser","1994","12289","Chordata","Reptilia","","","","","","","","-2.428333","51.623055","","Cromhall Quarry Site 3","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","good","","condensed","","concentrated","","common","","frequent","","","bones often broken and showing rounding and polishing","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149257","occ","27961","","13176","","aff. Terrestrisuchus sp.","genus","38316","","Terrestrisuchus","","genus","38316","Carnian","","237","227","Whiteside and Marshall","2008","25869","Chordata","Reptilia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Terrestrisuchus","","","1","specimens","-2.428333","51.623055","AUP 11320","Cromhall Quarry Site 4","","Cromhall Quarry, Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group.\r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age\r\n\r\nFraser & Walkden (1983) subdivided site 4 into several different levels (G, I, J K, L, M). However, because these levels were not used by subsequent workers (including Fraser) when discussing site 4, these levels are combined into a single collection here. ","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","Y","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","medium","","condensed","","concentrated","preferred","common","medium","frequent","","","bones often broken and showing some rounding and polishing","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149291","occ","19541","","13182","","Suchia indet.","unranked clade","66478","","Suchia","","unranked clade","66478","Carnian","","237","227","Fraser","1994","12289","Chordata","Reptilia","","","","","","","","-2.428333","51.623055","","Cromhall Quarry Site 5","","Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age\r\n","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","Y","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","medium","","condensed","","concentrated","random","common","","frequent","","","","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149295","occ","27963","","13183","","aff. Terrestrisuchus sp.","genus","38316","","Terrestrisuchus","","genus","38316","Carnian","","237","227","Whiteside and Marshall","2008","25869","Chordata","Reptilia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Terrestrisuchus","","","","","-2.428333","51.623055","","Cromhall Quarry Site 7","","Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","medium","","condensed","","concentrated","","common","","frequent","","","","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"149297","occ","19551","","13183","","Suchia indet.","unranked clade","66478","","Suchia","","unranked clade","66478","Carnian","","237","227","Fraser","1994","12289","Chordata","Reptilia","","","","","","","","-2.428333","51.623055","","Cromhall Quarry Site 7","","Slickstones","UK","England","Gloucestershire","stated in text","seconds","small collection","OS coordinates ST 704 916","gplates","315","mid","8.97","34.38","scotese","315","mid","-1.55","37.05","seton","not computable using this model","","","","UK","","","","","group of beds","","","","","","","","","","Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. \r\n\r\nMorton et al. 2017: biostratigraphy of conchostracans from the fissure deposits of Cromhall Quarry also support a late Rhaetian age","red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris","""limestone""","","lithified","","Y","mudstone","green,red or brown","","","","fissure fill","","","macrofossils,mesofossils","","","","","","","","body","medium","","condensed","","concentrated","","common","","frequent","","","","taxonomic","bulk,chemical,mechanical,acetic,field collection","","","","","","","Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
