occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
843034,occ,22794,NA,93590,Chatterjeea elegans,species,144568,subjective synonym of,Shuvosaurus inexpectatus,NA,species,90276,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,Reptilia,NO_ORDER_SPECIFIED,Shuvosauridae,Shuvosaurus,NA,NA,2,specimens,-105.883331,35.483334,"NMMNH P-17882, vertebra. NMMNH P-17881, proximal femur  ","NMMNH L-1178, Lamy",NA,,US,New Mexico,Santa Fe,estimated from map,minutes,small collection,,gplates,101,mid,-34.32,10.36,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
843036,occ,NA,NA,93590,Stagonolepididae indet.,unranked clade,156406,,Stagonolepididae,NA,unranked clade,64937,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,,Stagonolepididae,,NA,NA,1,specimens,-105.883331,35.483334,"NMMNH P-17883, fragment of plate","NMMNH L-1178, Lamy",NA,,US,New Mexico,Santa Fe,estimated from map,minutes,small collection,,gplates,101,mid,-34.32,10.36,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
843037,occ,NA,NA,93590,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,3,specimens,-105.883331,35.483334,"NMMNH P-17879, partial skeleton. NMMNH P-17877, rib fragments. NMMNH P-17876, tooth fragments    ","NMMNH L-1178, Lamy",NA,,US,New Mexico,Santa Fe,estimated from map,minutes,small collection,,gplates,101,mid,-34.32,10.36,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
843039,occ,NA,NA,93589,Stagonolepididae indet.,unranked clade,156406,,Stagonolepididae,NA,unranked clade,64937,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,,Stagonolepididae,,NA,NA,1,specimens,-104.366669,35.283333,"NMMNH P-17586, lateral plate fragment","NMMNH L-415, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,"Sec. 3, T12N, R24E ",gplates,101,mid,-33.11,9.95,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",All specimens are from intraformational conglomerates,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
843040,occ,NA,NA,93589,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,2,specimens,-104.366669,35.283333,"NMMNH P-3689, scute. NMMNH P-3675, ulna fragment  ","NMMNH L-415, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,"Sec. 3, T12N, R24E ",gplates,101,mid,-33.11,9.95,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",All specimens are from intraformational conglomerates,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
843041,occ,NA,NA,93588,Typothorax sp.,genus,64792,,Typothorax,NA,genus,64792,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Stagonolepididae,Typothorax,NA,NA,1,specimens,-104.51667,35.349998,"NMMNH P-17526, paramedian plate fragment ","NMMNH L-401, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,,gplates,101,mid,-33.22,10.04,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
843042,occ,NA,NA,93588,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,1,specimens,-104.51667,35.349998,"NMMNH P-17591, scute","NMMNH L-401, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,,gplates,101,mid,-33.22,10.04,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
843045,occ,NA,NA,93585,Stagonolepididae indet.,unranked clade,156406,,Stagonolepididae,NA,unranked clade,64937,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,,Stagonolepididae,,NA,NA,1,specimens,-104.51667,35.349998,"NMMNH P-17589, plate fragment","NMMNH L-411, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,,gplates,101,mid,-33.22,10.04,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
843046,occ,NA,NA,93585,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,1,specimens,-104.51667,35.349998,"NMMNH P-17590, scute fragment","NMMNH L-411, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,,gplates,101,mid,-33.22,10.04,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
843052,occ,NA,NA,93584,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Norian,,228,208.5,Database,2010,31715,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,3,specimens,-104.333336,35.333332,"NMMNH P-3688, four teeth. NMMNH P-17512, ten vertebrae. NMMNH P-17513, scute fragments. NMMNH P-17525, eight isolated teeth  ","NMMNH L-426, Garita Creek",NA,,US,New Mexico,San Miguel,estimated from map,minutes,small collection,"Sec. 24, T13N, R24E",gplates,101,mid,-33.08,10,US,,Garita Creek,Chinle,,bed,,,,,,,,NA,NA,"Considered to be late Carnian (Adamanian) in age by the authors; however, recent radiometric dating suggests a Norian age for most or all of the Chinle. The Garita Creek Formation was formerly referred to as the ""lower shale member of the Chinle Formation"" ",All specimens are from intraformational conglomerates,conglomerate,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,frequent,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
